art,t,bpm,s
Hayley Williams,Airplanes (Feint Drum and Bass Remix),178,1189295
Kenshi Yonezu,Peace Sign (TV edit.),200,594429
Equilibrium,Waldschrein,200,369354
TEARS OF TRAGEDY,Epitaph,191,1885198
Yiruma & Skullee,River Flows In You (A Love Note),140,68893
VINXIS,Sidetracked Day (Short Ver.),188,771159
Remo Prototype[CV: Hanamori Yumiri],Sendan Life,227,416153
MOMOIRO CLOVER Z,SANTA SAN,190,378183
supercell,The Bravery (TV Edit),189,308912
supercell,Kimi no Shiranai Monogatari -TV Edit-,165,342896
07th Expansion,rog-unlimitation,220,28751
Ikimono Gakari,Netsujou no Spectrum,160,232935
DOES,Guren,187,424295
THE ORAL CIGARETTES,ReI,186,842981
nano,"No pain, No game (TV Size)",190,1184314
ClariS,SHIORI -TV size mix-,176,661919
RADWIMPS,Yume Tourou,178,597111
m1v,you,173.9,1685799
Drop,Granat,180.96,219763
yuikonnu,Ghost Rule,210,440650
Ni-Sokkususu,Blade Dance,187,745312
bradbreeck,Step Off Playa,140,558938
Foreground Eclipse,I Bet You'll Forget That Even If You Noticed That,195,601135
Suzuyu,Mezameta Asa ni wa Kimi ga Tonari ni (TV Size),140,143812
R3 Music Box,Harumachi Clover,96,861685
Tia,The Glory Days,184,503486
Natsume Chiaki,Hanairo Biyori,182,143397
Konuko,Toumei Elegy,220,219380
7!!,Lovers (TV Size),164,28690
DJ Genericname,Dear You,174.11,74586
RADWIMPS,Nandemo Nai ya,84,515939
ELISA,Dear My Friend -Mada Minu Mirai e- (TV size),129,402631
Feint (feat. CoMa),Snake Eyes,174,130223
Loki,Wizard's Tower,175,985788
Fellowship,Glory Days,178,1781620
Nanamori-chu*Gorakubu,Acchu~ma Seishun!,184,451830
Daniel Ingram,Pinkie the Party Planner,124,153891
NICO Touches the Walls,Niwaka Ame ni mo Makezu,186,378559
DECO*27,First Storm feat. Hatsune Miku,190,696175
THE ORAL CIGARETTES,5150,192,818778
Akaza Akari(CV:Mikami Shiori),"Watashi, Shuyaku no Akaza Akari desu",190,313330
Unique,Fekete feher,132,266003
Foreground Eclipse,From Under Cover (Caught Up In A Love Song),200,462386
Hai Nan,Ai La La,120,118459
UROBOROS,Black Swallowtail (TV Size),204,792964
Will Stetson,POP/STARS,85,917345
Bowling For Soup,Today is Gonna be a Great Day (TV Size),180,1209835
HAG,Colorful,192,931452
Diana Garnet,Spinning World (Anime Ver.),170,420458
THE ORAL CIGARETTES,Amy,182,785544
supercell,Kimi no Shiranai Monogatari -TV Edit-,165,773801
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,557832
RADWIMPS,Katawaredoki,130,608723
Nogizaka46,Yubi Bouenkyou (TV Size),180,1178935
Panda Eyes,ILY,110,653534
Fujijo Seitokai Shikkou-bu,Best FriendS -TV Size-,163,130104
Puffy AmiYumi,TEEN TITANS THEME (TV Size),165,1011341
kradness&Reol,Remote Control,165,351630
Izumi Akazawa (CV. Madoka Yonezawa),Responsibility Response,202,495332
MISATO,Necro Fantasia,175,230367
