art,t,bpm,s
HOYO-MiX,Devotion of the Keeper,143,1636139
Haruka Tomatsu,Motto hade ni ne!(TV Size),150,4734
Yellow Zebra,Darling Star,130,9273
P*Light,Storm Buster,193,454843
Eve,Tokyo Ghetto,140,1167132
Hatsune Miku,Vegetable Juice (Po Pi Po),150,6300
Two Steps From Hell,Dragon Rider,160,21550
Idoling!!!,S.O.W. Sense of Wonder,170,86100
VV Zsofi,Ragogumi,130,219045
Avenged Sevenfold,A Little Piece of Heaven,145,58309
T-ara,No.9,128,180191
Andy Gillion,Insert Coin,180,1842568
Ceui,"Giniro, Haruka",128,1312793
fhana,Kimi to Iu Tokuiten [singular you],175,377872
Lisa (CV: Toyosaki Aki),Miracle Happy Day (TV Size),136,935335
LiSA,traumerei,190,204925
KISIDA KYODAN & THE AKEBOSI ROCKETS,nameless story (TV Size),194,1096599
Guilty Kiss,Shadow gate to love,105,630109
Mitei no Hanashi,Yoru o Koeru Ashioto (TV Size),196,2121581
Ed Helms (feat. The Lorax Singers),How Bad Can I Be?,98,2003064
ALTIMA,Burst The Gravity (TV Size),148,54824
Sako Tomohisa,Getta Banban (TV Size),167,1112682
BTS,Save ME,140,450917
NewJeans,Zero (Cut Ver.),172,1968652
gi(a)rlish number,Bloom,182,1373933
MAGIC!,Rude,144.01,297693
Nanashi Mumei,A New Start,120,1705429
KISIDA KYODAN & THE AKEBOSI ROCKETS,STRIKE THE BLOOD,208,1274597
u's,MOMENT RING,196,2058235
ZUN,Great Fairy Wars ~ Fairy Wars,159,22703
Chouchou-P feat. Hatsune Miku,White Prism,172,1408763
t+pazolite & Komiya Mao,Elustametat,180,2117392
Sharlo,Shinkai Shoujo,137,221768
Marie,Focus love,173,2036724
Chino (CV: Minase Inori),Daydream cafe ~Gochuumon wa Chino desu ka? ver.~,150,888544
Mitsuki,Eeliaas,180,1736814
FUWAMOCO,Kaibutsu,170,2038628
Lucky Vacuum,MIRACLE MEETS,160,61687
VINXIS,Greetings,200,1038319
Nakigoto,Shiranai Wakusei,178,1825938
kamome sano,Searchlight,172,509569
Hatsune Miku,Falldown,200,17118
Kraster,Katakoi no Tsuki,199,26795
aivi & surasshu,We Are The Crystal Gems (feat. Zach Callison) (Change Your Mind Version),165,1685504
Aoi Eir,Kodou (TV Size),184,1522877
Yuusha Party,Endoro~ru! (TV Size),140,935660
earthmind,ARCADIA (Short Ver.),177,81843
solfa feat. Chata,Miracle infinity,180,104315
TERRASPEX,AMAZING BREAK,153,571835
Sushi Killer,Zora,177,205107
Yorushika,Tada Kimi ni Hare,140,847238
Vintage,Roman (Cut Ver.),118,1418244
Naru Hakobe (CV: M.A.O),Neko Matsuri,160,660752
Skillet,Hero,142,1224099
the peggies,Centimeter,140,1663628
fripSide,sword of virgin (Short Ver.),149,68892
LUCIANO,TRAUBE MINZE,78,935219
OxT,HOLLOW HUNGER (TV Size),160,2178351
Giga-P,LUVORATORRRRRY!,128,153206
Getty vs. DJ DiA,Fox4-Raize-,200,482552
Shirakami Fubuki,Ievan Polkka x Fubuki (Hamburgaga Remix),120,1082270
Ray,a-gain,133.4,455421
YUKIYANAGI,Thousand Lights,170,1107784
HoneyWorks,Daikirai na Hazu Datta.,170,1813910
Mutsuhiko Izumi,Snow Goose,200,21754
HIGH and MIGHTY COLOR,Ichirin no Hana (TV Size),196,1193715
P4koo,Crystal Illusion,175,791944
ITO KASHITARO,Melancholic,140,713004
Aqua,My Mamma Said,130.01,28402
Yamamoto Mineko,Shiroi Sakura Saite (Cut Ver.),176,1243957
Fox Stevenson,Dreamland,168,1087898
cosMo@BousouP,25-ji 76-pun Hatsu <<Ryouiki Gai>> Iki Saishuu Ressha,176,1807738
Printemps,Puwa Puwa-O!,165,298138
O2i3,Heart Function,185,1133480
Lite Show Magic,TRICKL4SH 220,220,616696
Alex S.,My Little Pony Intro (Glitch Remix),115.01,49739
Hoshimi Production,IDOLY PRIDE (TV Size),167,1641821
Sena Wataru feat. sana,Hitori Tabi,140,1273378
Mishovy silenosti,CESKY LEAGUE OF LEGENDS SONG!!!,120,435578
"Hello, Happy World!",High Five Adventure,198,875667
LiSA,Rising Hope -TV ver.-,190,176779
Duca,Futari Iro,170,18874
Suzuki Konomi,Yume no Tsuzuki (TV Size),165,86490
Kalafina,Hikari no Senritsu (TV Size),96,53929
MONSTA X,Be Quiet,151,518311
Osaka Shizuku (CV: Maeda Kaori),Solitude Rain (TV Size),158,1908209
Tegomass,Kimi + Boku = Love? (TV Size),158,9036
Ken Ashcorp,20 Percent Cooler (Alex S. Remix),110,106552
Sakuzyo,Imprinting,175,1090887
SawanoHiroyuki[nZk]:Tielle & Gemie,sh0ut,106,641854
WhOAMI Inc,MOONLIGHT,128,930155
Whispered,Jikininki,220,750201
SHIKI,Pure Ruby,178,1531319
Nekomata L.E.D.Master+,Chrono Diver -PENDULUMs-,196,714552
rerulili feat. Hatsune Miku,I am you,185,1923678
Machico,Growing Up,190,2161890
Usher,Scream,128,53986
Receptor ft. K.I.R.A,Lullaby (Original Mix),173,372505
Jason Paige,Pokemon Theme (TV Size),145,807345
Chata,Winter Bells,180,696064
Nana Mizuki,Exterminate,174,351537
angela,Zenryoku*Summer! TV Size,158,642379
Akiyama Uni,Touhou Hisouten,120,455069
Shinomiya Ginka (CV: Hasegawa Ikumi),Star Trail,180,2152222
Hayami Saori,Omou Koto -TV size-,119,129391
Nishino Kana,Darling,160,728808
Sakakibara Yui,Happy Lucky X'mas,160,235599
Haruna Luna,Kimiiro Signal,164,326621
PSYQUI,Raise Your Hands feat. Such,172,1334632
Cash Cash,Forever Young,136,21155
sphere,HIGH POWERED (TV Size),187,37202
Hanasaka Yui (CV: M.A.O),Shunkashuutou * Egao Biyori,140,2093442
Go Ichinose,Friendly Shop,160,779334
Nakae Mitsuki,Brightly horizon,59.33,943927
UNDEAD CORPORATION,Flowering Night Fever,290,393663
RSP,Sakura ~Anata ni Deaete Yokatta~,160,33935
Vivid BAD SQUAD x Kagamine Rin,City,128,1836158
Moso Calibration,Seishun Prologue,154,634231
Chiaki Ishikawa,Uninstall,122.5,15311
Yuki (CV: Oozora Naomi),Narcistration,185,1948652
Aitsuki Nakuru,Presenter*,240,760473
Hatsuki Yura,Shoujo to Ougonryuu no Monogatari,226,719158
sana,Packet Hero,236,413592
yanaginagi,Muteki no Soldier,210,52221
Ayane,Arrival of Tears,200,2197519
Kohinata Chiko,Hetakuso na Koi,190,2129665
Horie Yui,I my me,128,12995
Gaetano DJ,Sento (I-M@T FM CUT Radio Remix),140,28048
Lon,Yuru Fuwa Jukai Girl,216,49686
fhana,Pathos,135,1844020
sana,Senpai.,162,637706
Natalia Oreiro,Tu Veneno (Cut Ver.),170.1,1557448
Nanahira & *namirin,Egao ni Naru,168,2054938
NACHERRY,My dream girls,179,2133217
u's,KiRa-KiRa Sensation! (TV Size),195,204428
Itou Miku,Ao 100 Shoku (TV Size),120,1738980
Drop,Granat,180.96,1664556
DJ'TEKINA//SOMETHING,Hidamari no Uta,128,966324
yuki,Tsumetai Kabe no Mukou ni (Short Ver.),171,1748358
chano & 40mP,Natsukoi Hanabi,158,673205
Sheppard,Geronimo,142,302303
Jayn,Promise of Reunion,110,60721
"Wake Up, Girls!",Tachiagare! (TV Size),152,150614
BIGBANG,Love Dust,130,51261
"Fear, and Loathing in Las Vegas",Cast Your Shell,205,707133
fripSide,sister's noise (TV Size),144,88881
Neople,Purgatory,165,8540
Minato Aqua,Kimi no Saioshi ni Shite yo!,192,2222376
Steppenwolf,Born To Be Wild,145,592205
9nine,White Wishes (TV Size),135,69992
Smash Mouth,I'm A Believer,164.75,102615
THE ORAL CIGARETTES,Kantan na Koto,134,1006793
Takayan,Jinrui Mina Menhera,166,1406904
Yorushika,Hole In The Heart,200,1000972
315 STARS,Reason!!,190,1192829
JIN,Children Record (Re:boot),206,1419430
AAAA,Hoshizora no Kanransha,205,2094949
Nightwish,Escapist,144,604273
Various Artists,Anime Songs Compilation,180,343728
Ariabl'eyeS feat. Risa Yuzuki,Meimei Memento,200,2189314
Shiina Mahiru (CV: Iwami Manaka),Kimi ni Todoke (TV Size),146,1963052
NICO Touches the Walls,Niwaka Ame ni mo Makezu,186,1237462
yuki,Koisuru Kirigirisu (Short Ver.),142,1669278
Neru x Rib,Jinsei wa Hoeru,286,245393
Perfume,Nee,128,57635
Fruits Tart,Tart na Kimochi,175,1346493
AIMI,Fukanzen Dreamer,186,1765743
MIMI,Nanimo nai Youna,119,1151466
Maaya Sakamoto,CLEAR,165,718454
The Jesus and Mary Chain,Taste of Cindy,133,1942245
bbno$ x diamond pistols,help herself,168,2171755
Ray,ebb and flow (TV Size),106.1,141284
Kawano Marina,Morning Arch (TV Size),164,29882
Azuna Riko,Chance! & Revenge! (TV Size),158,1455661
Kajiura Yuki,Sis puella magica!,148,322061
Touhou LostWord x RichaadEB,Lost Word Chronicle,184,1482439
haru,you feat. Eminem,150,1023323
Horie Yui,Sugar Sweet Nightmare,166,15754
Julieta Venegas,Lento,144,1337087
(K)NoW_NAME,STILL STANDING (TV Size),200,1661933
"25-ji, Nightcord de. x Hatsune Miku",Jack Pot Sad Girl,204,1625177
Owl City,Dreams Don't Turn To Dust,90,576684
Natsume Itsuki,Cat Loving,163,1978274
Uru,Freesia (TV Size),74,915848
Kid Cudi feat. MGMT & Ratatat,Pursuit of Happiness,115.3,15690
Minase Inori,Songs Compilation,190,957074
JOYLESS,Bristol,196,1728251
Bullet For My Valentine,Hit The Floor,194,509762
Suzuyu,Euphorium,186,2106292
Demetori,Genshi no Yoru ~ Ghostly Eyes,176,503130
KISIDA KYODAN & THE AKEBOSI ROCKETS,Stray (TV Size),206,974386
Selphius,ADAMAS,191,1303798
ClariS,Butterfly Regret,167,665235
Ryokuoushoku Shakai,Kesshou,100,1369270
yuki. feat. setsunan,Hello! World,170,785650
Yamamoto Mineko,Cadena,200,941465
ORESAMA,Hotohashiru,140,1090567
Utsu-P,Baby Deathmatch,272,646368
Yorushika,Tada Kimi ni Hare,140,1186908
Park Shin Hye,Lovely Day,127,394567
Panic! at the Disco,Mercenary,155,54468
Nien,MidNight Blood,147,17941
Maroon 5,Moves Like Jagger ft. Christina Aguilera,127.98,135413
ULTRA-PRISM with Ikamusume,Shinryaku no Susume* (TV Size),185,21106
VESPERBELL,RISE,194,1521677
sammy rash,smile more,88,2109584
Hirano Aya,Tsuiterune Notterune,158,6387
Kondo Koji,Select-men,80.59,1063561
UNDEAD CORPORATION,Everything will freeze,240,2128889
Falcom Sound Team jdk,Hope Alive,185,2007277
FATE GEAR,Headless Goddess,175,1568902
Aitsuki Nakuru,Kimi no Shiranai Monogatari,165,2134493
Hestia (CV: Inori Minase),Kimiiro Everyday,172,1808565
Duca,Songs Compilation,159,143216
cYsmix,Peer Gynt,140,805762
AAAA,carnation,160,677687
Guru Groove Foundation,Golden Love (Mr. Frenkie Remix),172,1282615
a_hisaxChicking,The Navigator's Hope,140,439225
May'n,Chase the world (TV Size),170,48987
Taketatsu Ayana,Horaism (TV Size),140,94240
Krewella,Be There,145,702336
ICHIKO,I'LL BE THERE FOR YOU (TV Size),170,42890
Shano x 40mP,Natsukoi Hanabi,158,100865
ITO KASHITARO,Sayonara dake ga jinsei da,77,565219
yoshiki*lisa,Destin Histoire (TV Size),166,1713118
CoCo,Omoide ga Ippai (TV Size),126.82,874647
Marika Kohno,New story (TV Size),165,1574149
Camellia,"Chirality (""Dissymmetric"" Long ver.)",201,753501
July,Prelude,78,475746
milktub,Uchouten Jinsei (TV Size),206,110803
culenasm,Byouka,200,1851452
Ian Taylor,Harmony,100,762224
"Taneda Risa, Chihara Minori & Yamaoka Yuri",Yakusoku no Kizuna (TV Size),120,153954
The Chainsmokers & Coldplay,Something Just Like This,103,611301
Bu Shi Hua Huo Ya,Yun Luo,130,1415032
Hanatan,Jishou Mushoku (Cut Ver.),120,1270237
BUTAOTOME,In the Black,224,1833640
Aoki Chihiro,Kodou,121,687511
12 Girls Band,Freedom,130,13901
Chino (CV:Minase Inori),Mahou Shoujo Chino (nenpulse bootleg remix),176,458983
MY FIRST STORY,Black Rail,204,439396
TEARS OF TRAGEDY,Spring Memory,190,1339896
PSYQUI,Hikari no Hou e (feat. Such),168,1920128
SOUND HOLIC,Tokimeki*Reitou Pack,154,39563
Coldplay,Clocks,130.98,1815533
OxT,grayscale dominator (TV Size),190,2108581
LONGMAN,spiral (TV Size),122,2147070
Aqours,SKY JOURNEY,158,594911
nao,Toaru Shoukoku no Ohimesama ga...,218,2071798
Nakae Mitsuki,Renka Sensei,147,51348
Sakura Miko,Sakurakaze,168,1175049
Camellia,Compute It With Some Devilish Alcoholic Steampunk Engines,165,1280590
Toby Fox,Rude Buster,140,881601
Ito Kanako,fake me (samfree's Science Adventure Dance Remix) (Cut Ver.),165,1441726
Laufey,From The Start,82,2079819
Zara Larsson,Never Forget You (MitiS Remix),150,450517
Chima,Hajimari no Shirushi (Anime Size),71.25,612207
paraoka feat. haru*nya,Dreadnought,215,43392
XL Project,Necro Fantasia,160,23077
Akatsuki Records,PANDORA66,160,1345078
Marianas Trench,Cross My Heart,164,10139
Yuki Honda feat. Nanahira,POKEDANCE,124,2179286
Anne-Marie,Alarm (TroyBoi Remix) (Cut Ver.),146,1454221
Mineko Yamamoto,"Falling, The Star Light",178,1682448
Kuba Oms,My Love (Shadren Remix),105,1382412
Cagliostro (CV: Tange Sakura),Nanokakan Kakete Sekai o Tsukuru yori Kawaii Onnanoko Hitori Tsukutta Hou ga Ii,186,1761002
,Cheetahmen Trance Mix,150.02,1535
THE ORAL CIGARETTES,Kyouran Hey Kids!!,284,371419
Raujika,Lost Imagination,91,328691
ONE OK ROCK,Prove (TV Size),111,2084060
Toy*GunGun,The Bravest Destiny,167,331116
Swagberg,Pony Swag (feat. Maros),120,42513
Nobuo Uematsu,Rose of May (Loss of Me),65,9439
Toyosaki Aki,letter writer,206,2167708
SawanoHiroyuki[nZk]: Tielle & Gemie,gravityWall,117,622538
Manaka Kataoka & Atsuko Asahi,Toy Day (Orchestral Remix),106,536538
Takeru Kanazaki,Jimmy's Aerobics,119.65,15058
Toby Fox,Dialtone,65,1584926
Takano Hiroko,SLATEPORT CITY,116.16,779459
"Maeno Tomoaki, Hanae Natsuki, Toriumi Kohsuke",Kimi Iro Smile,105,627027
KOUICHI,The Witches' Ball ~ Magus,148,6028
Yamazaki Moe,JUMPING TO DAYS!,189,2165472
Kano,Platonic Love,190,449183
Reid Speed & Ahee,Overtaken (feat. Heartwurkz),174,898881
Yunomi,Oedo Controller(feat. TORIENA)[Batsu Remix],132,469434
Charlie Brissette,"""The Angry Beavers"" Theme Song",166,752678
Harada Hitomi,Kyoumei no True Force (TV Size),187.5,2168283
Benny Tornroos,Kay Muumilaaksoon (TV Size),165.82,1757046
Morimori Atsushi,Paradigm Shift,145,432589
egor nats,hochu k tebe,125,880705
COOL&CREATE,Locked Girl,88.25,8727
Maon Kurosaki,Afterglow,82,405636
Wakasa Yuuri (CV: M.A.O),Friend Shitai,148,1041232
"Azumaya Junta (CV: Ono Yuki), Saijo Takato (CV: Takahashi Hiroki)",Chuntaka! (TV Size),140,1010876
ZUN,Corpse Voyage ~ Be of Good Cheer!,161,12172
ave;new feat. Sakura Saori & Shirasawa Rie,Love Doki Suki Angel * Paradise!!,165,31852
"Kanae, Kuzuha",Not For You,172,1183720
Chimame-tai,Tokimeki Poporon,170,364936
wowaka,Unknown Mother-Goose feat. Hatsune Miku,222,658008
Maroon 5 ft. Wiz Khalifa,Payphone,110,50752
Nanako,Ura mo Karada mo Rakkamijin,158,50772
SHHis,Resonance+ (SHHis Ver.),157,1625730
Aqua Timez,MASK (TV Size),145,1190848
ChouCho,Aozora no Kodou,145,759165
Inori Minase,Natsu no Yakusoku,134,1978590
petit milady,360-Do Hoshi no Orchestra,172,1947850
Falcom Sound Team jdk,A-TO-Z,185,1336633
"Oono Yuuko, Endou Yurika, Koga Aoi",Monochrome Kajuen,195,2088466
Demetori,Love Coloured Master Spark,195,9960
Chou Huei,Bing Kuai,127,112589
HAG,Starry Night,132,1694206
fhana,Watashi no Tame no Monogatari ~My Uncompleted Story~ (TV Size),170,1697674
Ouse Akira,Seijaku no Tobira,176,1877468
Morimori Atsushi,Toono Gensou Monogatari (MRM REMIX),200,1404277
Pile,Dream Trigger (TV Size),168,1148455
May'n,Chase the world (TV Size),170,48438
NICO Touches the Walls,Tenchi Gaeshi,120,397016
2PM,Take off (TV Size),132,42137
David Wise,Gang-Plank Galleon,127.75,19261
Avenged Sevenfold,A Little Piece of Heaven,145,16161
Suda Keina,veil (TV Size),150,1004116
Ardolf,Varcolac,180,1750904
Nintendo,Super Mario Bros. (TECHNO remix),209.02,628
Little Boots,Remedy,129,55594
Chelsy,I will,89,223543
Drake Bell,I Found a Way,130,36520
GAER,Serdtse panel'nykh domov,190,2068546
The Monkees,I'm A Believer,161,339646
Jea,snows ~Soshite Kiseki~,186.23,2185566
Rhapsody,Epicus Furor / Emerald Sword,180,824494
Natsume Chiaki,Sentimental na Aiboshin,150,239374
Kanzaki Elza starring ReoNa,"step, step",140,1337889
HUMBREADERS,COLORS,194,1708342
Nana Takahashi,Shuwa Supa Daisakusen,140,22601
mimimemeMIMI,Sentimental Love (TV Size),138,899538
Bomfunk MC's,Freestyler (Cut Ver.),163.85,1438301
Harumaki Gohan feat. Hatsune Miku,Suisei ni Nareta nara,180,1215982
Jean Dawson,SICK OF IT*,189,1949894
CHiCO with HoneyWorks,Himitsu Koigokoro,165,1799148
Tamura Yukari,Happy Life,178,2161396
mimimemeMIMI,CANDY MAGIC,160,807912
Red Hot Chili Peppers,The Zephyr Song,117.3,684221
Cascada,What Hurts The Most (Nightcore Remix),170.42,20239
Nomizu Iori,miele paradiso (TV Size),176,1874842
TOKINE,Negai o Yobu Kisetsu,170,358463
Satou Hiromi & Faylan,Witch's Garden,182,236649
StylipS,Choose me Darling (TV Size),150,75687
Y&Co. feat. Karin,Sweet Rain,155,32988
Golden City Factory,Stirring an Autumn Moon,151,11062
Korol' i Shut,Durak i Molniya,179.6,2134210
Roddy Julienne,Pas de panique a bord (TV Size),102,1641157
Yamamoto Mineko,Shiroi Sakura Saite,176,1313749
Symholic,Futari dake no Sekai,130,1336619
BEXTER,Syriana,135,13614
-45,Kurenaikakei,165,1893565
Hatsune Miku,"Look This Way, Baby!",185,17926
culenasm,Helsinki no Yume,187,1083875
AAAA Chazuke,Sayonara Cosmonaut,200,1756775
Inori Minase,Ready Steady Go!,190,1728474
Yorushika,Flower And Badger Game,125,1237860
Bal-Sagoth,"Behold, The Armies Of War Descend Screaming From The Heavens! (Cut Ver.)",199,1348191
Yumeno Yuki,BWLAUTE BEIRRD,197,979204
Seven Lions,Summer Of The Occult,170,442983
yuikonnu,Tsumi no Namae,172,548999
Yooh,LiFE Garden (Extended Mix),149,832538
Ceui,MeltyMoment,174,1082635
Tsukudani Norio,Atashi no Kamisama,169,1213131
Chikyuseifukubu,I miss you no 3 Meter,160,296299
Sayuri,Heikousen,191,664417
universe,echoes,129.55,733435
LAMA,Spell,147,406860
KiRaRe,"Don't think,Smile!!",173,1114236
Grynpyret,Boba Beach,158,327224
"Hello, Happy World!",StaRt,190,1410376
Marina And The Diamonds,Weeds,125,297042
Nana Mizuki,Angel Blossom,176,300371
Raven's Jig,Un Jour Joueur,124,828302
Placebo,Fuck U,104,793041
Kasabian,Fire,117,80696
Rin,Lunatic set 15 ~ The Moon as Seen from the Shrine,128,1267975
Kagamine Rin and Len,Trick and Treat,135,11418
Rat Boy & IBDY,WHO'S READY FOR TOMORROW,138,2107583
Younha,Houkiboshi,155.15,779541
SawanoHiroyuki[nZk]:Tielle,Into the Sky,86,1119622
Linkin Park,In The End,105.14,31468
Asaki,Agnus Dei,168,5275
Nico Nico Douga,Second Subway,149,17934
Rin'ca,Kimi ga Hohoemu kara (Short Ver.),147,2182114
Negoto,DESTINY,137,331892
Masayoshi Minoshima feat. Mei Ayakura,Lionheart,132,126539
fhana,RHAPSODY OF BLUE SKY,135,586841
Bamboo Blade Cast,Bamboo Beat (TV Size),160,13338
HTT,Gohan wa Okazu,190,21872
Katy Perry,Firework,124,22164
Green Day,Letterbomb,180,983253
Azuna Riko,Kimi ni Furete (TV Size),90,860802
Hata Motohiro,Rain,92,131044
Mizuki Nana,VIRGIN CODE,212,272679
Inori Minase,Bokura wa Ima,195,1574791
HyuN feat. YURI,Disorder,193,1632819
Maverick,opaque,191,1955283
ORESKABAND,Tsumasaki (TV Size),187.41,1222055
Shindehai,KUMIKYOKU EPIC ROCK VERSION,185,448399
Itowokashi,Yakusoku,193,734480
fripSide,fortissimo-from insanity affection- (Short Ver.),150,44106
Hana,Gekka Jasmine (2014ver.),170,408745
Suzuyu,White Eternity -special feat. Suzuyu-,178,771615
CHiCO with HoneyWorks,Kessen Spirit,188,1484429
SECONDWALL,Shizuka na Yoru ni (Cut Ver.),180,1370680
Luck Life,Kawaranai Sora (TV-version),200,505277
Mikakuning!,Masshiro World (TV Size),160,144269
Eyemedia,Holy Knight,155,1064207
Little Non,Hanamaru Sensation (TV Size),190,20060
Duca,Shiawase no Basho short ver.,164,248061
Slipknot,Psychosocial,135,31179
Suzuki Masayuki,Love Dramatic feat. Ihara Rikka (TV Size),129,927913
Narae,Horang Pungryuga,160,200187
FLIP-FLAP,Kimi no Ashita (TV Size),170,35085
Frederic Francois Chopin,op 10 no 2 (8-bit remix),149.79,374364
DCX (D-Tune),Flying High,140,12713
nam5,The Sky of Daybreak,140,21511
TrySail,adrenaline!!! -TV Ver-,268,600297
YUKI,Futari dake no Sekai,158,931638
Reol & nqrse,Ooedo Ranvu,134,357544
Atarayo,Kyokuya,178,1928309
HyuN feat. LyuU,Cross Over,200,891337
Sweetches,Sweet Witches' Night ~Rokuninme wa Daare~ (M@STER VERSION),152,1053469
Fireflight,Unbreakable (Sped Up & Cut Ver.),111.4,1343602
KIEN,Le grand Bleu,165,1956692
PSYQUI,Hype feat. Such (lapix Remix),175,830537
xi,Heavenly Blast (2022 Remaster),234,1987556
Warak,Slow Motion (feat. DongGeyoung),128,1014716
Ray,Kimi to Ita Sora,161,2178833
Endorfin.,Suisei no Parasol,182,1479132
gi(a)rlish number,Bloom (TV Size),182,1369963
Faylan,INFINITE SKY,190,2109234
Unknown Brain & Laura Brehm,Circles,174,945060
Kugimiya Rie,Kiss Shite Agenai (TV Size),176,43572
Sasaki Sayaka,Koi Saku Mirai,168,142300
Keanu Bicol,i won't run,171,1743942
supercell feat. Hatsune Miku,Sono Ichi Byou Slow Motion,165,27790
Marie,Clover Day's (Short Ver.),190,2080113
"Washioka Itaru, Asagi Asuka & Oribe Kotone",Prism Time ~ Mahou no Yubi de Touch Shite ~,176,77053
BAND-MAID,CROSS,190,1221201
SAINT PEPSI,ENJOY YOURSELF,96,662892
cYsmix,Manic,150,361214
Darren Korb,Terminal March,180,118227
Lady Gaga,Poker Face,119,17360
May'n,Scarlet Ballet (TV-SIZE MIX),155,173051
Fujii Kaze,Matsuri,97,1902232
Kagamine Rin,I Can Take Off My Panties!,163,24172
My Chemical Romance,Helena,251.82,320194
Kali Uchis,telepatia,84,1552269
Rise Against,Behind Closed Doors,196,945976
Chata,Glitter,170,1625762
Gac Mai,Guong,64,827156
Nightwish,Songs Compilation,148,519682
DystopiaGround,AugoEidEs,207,24611
Kito Akari,Kimi no Tonari de (TV Size),198,1424733
ZUN,Chiisana Chiisana Kenshou,170,1011097
Atoguru,Itoshi Kimi wo Mitsuke ni,170,29044
Crywolf,Eyes Half Closed,135,1049043
Nico Nico Douga,VS Misaka Mikototo,150,12663
Foo Fighters,Monkey Wrench,174.15,90087
Endorfin.,Luminous Rage -Feryquitous OrderBless Remix-,179,743239
Nicki Minaj,Super Bass,127,39043
cosMo@Bousou-P,Sadistic.Music Factory,165,476871
32ki feat. Hatsune Miku & Kasane Teto,Mesmerizer,185,2198103
FELT,Prayer Blue,159,51145
Duca,Ashita Tenki ni Naare (Short Ver.),169,53158
Ricky Montgomery,This December,140,1173192
Origa,Polyushko-Pole,140,31092
Hatsune Miku,Nijiiro Chouchou,99,10045
Doja Cat,Say So,111,1096383
Icon For Hire,Cynics & Critics,181,296017
GFRIEND,MEMORIA,137,848112
Hello Sleepwalkers,Goya no Machiawase,189,1250815
Chata,re:construction,172,119431
Tokyo Karan Koron,Spice,130,986049
SPYAIR,MIDNIGHT,124,689544
sasakure.UK x DECO*27,Snow Song Show feat. Hatsune Miku,138,2071776
JJ Lin,Jiang Nan (Cantonese Ver.),60,384284
Luschka,Watashi no Kakera,180,1956446
P4koo,Forbidden Light,169,1279878
Nor,Up to 21C,170,2111968
Sayaka Yamamoto,Blue Star (TV Size),81,2163049
765PRO ALLSTARS,The world is all one!! (TV Size),167,38050
MAN WITH A MISSION,Dark Crow (TV Size),148,1048325
Porno Graffitti,Hitori no Yoru (TV Size),176.08,10824
Three,Kuuchuu Bunkai long,200,1101542
FLiP,Katoniago (TV Size),163,24743
James Landino,Aresene's Bazaar,155,1972749
Masayoshi Minoshima,The Last Judgement,140,14924
Mili,Nine Point Eight,164,1914266
mary x jon-YAKITORY,Koko de Ikiteru (TV Size),190,1511716
deadmau5 ft. Gerard Way,Professional Griefers (Radio Edit),128,194114
DECO*27,Mannequin feat. Hatsune Miku,192,1994520
Celldweller,I Can't Wait,188,170148
Uchida Maaya,Sekai ga Katachi Nakushitemo,188,2219985
DJ-DOC/EPIK HIGH,NX K-POP Dance,132,778187
World of Wandag,Winky Face,136,439220
"Wake Up, Girls!",Suki no Skill,128,740351
Sabadu,A Very Polish Christmas,210,1992471
Aimer,StarRingChild,164,1907485
Nagarekawa Girls,Mirai Shoujotachi,168,194742
Suzuki Konomi,CHOIR JAIL (TV Size),181,2159285
frederic,Kanashii Ureshii (TV Size),142,869519
RAMM ni Haiyoru Nyaruko-san,Zutto Be with you (TV Size),130,51294
Bella Poarch,Build a Bitch,103,1499531
polysha feat. Sennzai,Hurt Urge,172,1434778
Oscar Roa,Pokemon - Atrapalos Ya!,145,553959
MONKEY MAJIK,Running In The Dark,125,1899408
Years & Years,Worship,118,1352008
solfa feat. Shimotsuki Haruka,Natsuiro Ramune,160,1601425
Dani Rosenoer X Arc North,Onward (pt.II),160,735153
LazuLight,Diamond City Lights,182,1469822
nekodex,aureole (osu! xmas 2017),70,706762
DJ Okawari,Flower Dance,100,23207
Leslie Hall,Tight Pants / Body Rolls,142,15849
REOL,YoiYoi Kokon,150,509341
BoA,Distance,130,68532
-45,Ena,150,1882400
Ice,Parodia Sonatina -Grande-,170,750363
Toyama Nao,Wagon,206,1669004
HoneyWorks feat. Minato Aqua,Heroine wa Heikin Ika.,200,2011740
Nanawo Akari,Higher's High,199,1846714
Kicco,Miracle * Feel Free,150,644688
Nitta Emi,White Eternity (Soleily & Epsilon Remix),178,693946
"Hello, Happy World!",Egao no Orchestra!,138,765011
Tsukino,Lavie,183,2117313
Minatsu Eru,the end,121,1710014
Mimori Suzuko,Univer Page,187,1134892
Murata Ayumi,Drawing Again,180,1039296
May'n,Belief (TV Size),208,1627541
Ara Potato,Skype x Can Can,195.14,47078
Duca,Mirai no Melody,164,684982
Ami Ishii,Hirogaru Sky! Precure ~Hero Girls~ (TV Size),184,1947532
IOSYS,Cirno's Perfect Math Class,175,5285
yanaginagi,Outsider,190,2046051
The Red Jumpsuit Apparatus,Face Down,186,619824
Uzuki Shimamura (CV: Ayaka Ohashi),Kira! Mankai Smile (Cut Ver.),165,1636539
AlleXceed Familia,Summertime Record,185,1301898
Cascada,Miracle (Nightcore Mix),168,1780238
Carpool Tunnel,Better Now,156,1050477
Otani Kow,Zetsubo to no Wakare ~Kyozo to no Tatakai~,160,745524
