m,b,x,pp99,adj,v,s,l,d,p,h,appr_h,ar,accuracy,cs,drain
72,519080,1083.56,381.19,1496,Insane,221954,138,4.44966,760137,102899,393771,8,8,4,7
0,1695382,1076.43,411.67,973,Rain,807850,84,6.85163,585684,69809,426869,9.6,9.5,4.2,6
0,486513,1073.07,82.99,10324,Tranquility,206284,35,4.19467,2573666,103703,392968,9,7,4,7
8,738063,1056.3,227.42,4285,Lust's Insane,320118,68,5.72269,1499171,93752,402956,9.3,8,4,7
72,2659911,1047.45,426.77,881,Simple Heart,1280506,57,4.99611,1753767,49842,446838,9,9,3.8,5
0,1612453,1038.67,215.54,4301,Chromoxx's Extra,765778,38,5.66964,1058436,72840,423748,9.4,9,2.5,5.2
0,799913,1035.46,246.37,3584,True Meaning,364401,119,5.88008,349469,89971,406717,9.5,8.5,3.8,7.2
0,1264070,1024.94,102.59,6670,Insane,596704,86,4.26781,3014776,81947,414726,8.5,7.5,4,5.5
0,714001,1023.93,340.7,2103,jieusieu's Lemur,320118,59,6.6413,916319,93752,402956,9.6,9,4,6
0,2444149,1020.39,209.06,5155,Extra,1171789,89,5.54309,1299159,54879,441792,9.3,9.2,3.8,5.5
64,1269345,1013.85,216.82,4301,Masha's Insane,600702,29,4.11277,1837152,77231,419446,8.3,7,4,6
72,2514777,1008.63,334.82,2241,mario and bowser kissing (illegal),1207609,39,4.60768,3048240,53056,443628,9,8.6,4,5.5
0,2245766,1001.62,226.04,4285,A r M i N's Extra,1073074,31,5.82048,494271,58553,438118,9.3,9.1,3.5,6
0,1556336,999.47,164.19,6322,Sotarks' Detonation,737128,73,5.16707,2063664,73597,423108,9.3,9,4,6
64,966307,999.26,224.22,4423,Insane,450393,87,3.98947,285396,89204,407466,8,7,4,6.5
0,1762730,993.38,88.86,7868,NiNo's Insane,842412,30,4.40277,2759301,69720,427022,8.6,8.3,4,4.7
0,1621175,991.99,119.28,7133,NiNo's Insane,770300,86,4.55135,2021328,72482,424036,9,8,4,5
0,1027542,979.02,205.47,5155,3XTR4,481451,165,5.32937,840986,86138,410542,9.3,8.3,4.3,6.3
0,877335,975.14,152.6,7627,Yiyo's Insane,399358,87,4.9723,1290448,91465,405351,9,8,4,7
64,2659911,972.5,414.72,901,Simple Heart,1280506,57,4.99611,1753767,49842,446838,9,9,3.8,5
0,1810299,972.07,100.99,6670,NiNo's Insane,865746,88,4.61705,1389609,68450,428233,9,8,4,5
0,1619564,968.28,150.92,7627,Seni's InsAnE,770306,89,4.91331,1220148,72190,424360,9.2,8.2,3.5,6
0,1414041,967.52,52.37,9541,Insane,667713,107,4.49323,246870,74083,422636,8.7,7.5,4,5.5
0,2118444,964.58,279.32,3507,Taeyang's Trashy Extreme,983911,95,5.96686,925137,60350,436375,9.3,9.5,3.5,5.3
64,764517,959.79,142.25,6180,Unbreakable,346339,42,3.42482,1464393,96138,400533,8,7,4,6
0,2404778,959.09,278.6,3507,Sotarks' Rampage,1148073,98,6.09232,512550,53465,443206,9.3,9.3,3.8,6
64,2514777,958.77,318.85,2085,mario and bowser kissing (illegal),1207609,39,4.60768,3048240,53056,443628,9,8.6,4,5.5
0,1645699,956.55,111.52,6592,NiNo's Insane,781509,85,4.5244,3642048,70985,425590,9,8,4,5
64,974142,952.18,323.86,2315,Momoka's Insane,451250,175,4.45953,515214,89198,407472,8.2,7,4,6.5
0,3042164,937.14,318.99,2085,Mugetsu,1483235,104,6.28327,267682,43028,453721,9.4,9,4,6
72,1492011,935.96,186.49,6011,Chromstrata's Hitoyasumi,705423,32,3.75525,3164472,73457,423214,8,8,4.5,6
0,853926,931.72,147.03,6470,Insane,384772,159,4.96457,1087349,86447,410276,9,7,4,6
64,2347052,918.9,283.44,2938,Revival,1123162,83,4.25565,944690,53057,443887,8.7,8.5,4,6
0,1955170,915.41,294.12,2896,Taeyang's Extra,744772,91,6.02822,496323,64171,432500,9.2,9.3,4.3,6
64,1783725,914.22,292.36,2896,Chicken Hair,853469,33,4.54327,766944,68161,428430,8.5,8,3.5,6
