art,t,bpm,s
TRUSTRICK,FLYING FAFNIR (Anime OP Version),143,263239
Toby Fox,Pandora Palace,200,1583685
Haruna Luna,Windia,168,507025
sajou no hana,Tentou (TV Size),197,1812822
"Adachi Minako, Kuroda Hideaki",Sentou! Aqua-dan / Magma-dan no Leader,186,779775
Nakura,Takin' U There (osu! edit),170,2134284
Tomita Miyu,OveR (TV Size),198,1775596
Wolpis Kater,Wasureji no Kotonoha,135,937736
MYTH & ROID,PANTA RHEI (TV Size),190,1697863
Li Meng Di,Kuai Dian Gao Su Ni,130.37,336686
ATARASHII GAKKO!,Ookami no Uta,223,1562875
Jerico,Catadioptric,146,1113188
False&Trues,False and Trues,135,15328
kradness,Nijuujinkaku Survival (Cut Ver.),180,399495
KKOMDA,Hutao's Costume party!,124,1619052
Mickey Valen,Wildcard (feat. Feli Ferraro),155,1062655
Masashi Hamauzu,FFXIII Battle Theme,163.96,7025
Orange Range,*~Asterisk~ (TV Size),124,13473
Alestorm,Keelhauled,220,1537993
Gorillaz,"Feel Good, Inc.",138.52,8749
FROZEN QUALIA,Present,175,725612
Aoki Haruko,Love Hell Rocket,190,25968
Puchipurizu,Egao no Tensai (TV Size),135,787338
Choucho,Kawaru Mirai (TV Size),167,41096
ASCA,Nisemono no Koi ni Sayounara with Wakeshima Kanon,175,1796577
KIVA,The Whole Rest,157,1328714
Miwa Yoshida Ft. Akon,Sweet Dreams (Akon Mix),150,8824
CircusP & Eyeris,Karma,134,1143814
YUC'e,Cinderella Syndrome,100,1467712
Cranky,La fuite des jours,180,751932
Ayumu,Witch of Occultics,145,10456
Wagakki Band,Yuki Kageboushi,170,1680038
Annabel,Alternative (TV Size),128,124219
Kicco,Amazing sky,150,2000770
Darren Korb,In Circles,129,381064
Nightcore,Find my way to you,177.63,10157
nano x buzzG,Dive In Your Eyes,186,302884
SEREBRO,SEXY ASS,130,484329
Satou Satomi & Kayano Ai,Madoromi no Yakusoku (TV Size),89,49805
SHINee,Tell Me What To Do,125,562758
Rohi,Artifact,180,1177744
Enya,Trains And Winter Rains,95.46,304024
(K)NoW_NAME,STILL STANDING (TV Size),200,1661933
Hurts,Devotion (feat. Kylie Minogue),79,249797
Hiiragi,"Ima, Kono Toki (TV Size)",124,44230
Kon Natsumi,Niji no Kakera (TV Size),132,168499
Billie Eilish,idontwannabeyouanymore,170,1011319
Baby's breath,Habataki no Birthday (TV Size),181,2123532
Marie,Hyakka Ryouran Phantasm,177,39120
Kuribayashi Minami,STRAIGHT JET (TV Size),154,25360
Brian the Sun,Lonely Go! (TV Size),204,2150857
P!nk,Bad Influence,138,10334
Asaka,I believe what you said,138,1294563
MY FIRST STORY,We Are Never Ever Getting Back Together,160,1186095
FELT,Prayer Blue,159,1027740
M83,Midnight City,105,871651
GARNiDELiA,Yakusoku -Promise code- (TV Size),198,1996023
Hernan Rozenwasser,Today I Die (Piano Mix),90,31991
Orange Range,Shanghai Honey,130,364
Calen,Prism,156,4552
Hisaka Yoko,Sweet Bitter Beauty Song,133,6706
Yasuaki Iwata,"Link no Kioku ""Eiketsu Mipha""",76,1718349
Zektbach,Turii ~Panta rhei~,147.98,14440
"Tanisyo Masako, Touma Meimu, Deguchi Ayumi, Inagaki Tomomi",GLORY,170,1268781
Tokio Hotel,Heilig,114,866685
Yousei Teikoku,Shinteki Souzou,298,528000
Uchida Maaya,Symbolic View,178,1379960
Maruguri,Kyuuri no Uta,120,170679
IOSYS,Miracle-Hinacle,160,3609
Survive Said The Prophet,MUKANJYO (TV Size),190,1513391
2PM,Take off (TV Size),132,42137
Ryu*,AGEHA,180,33410
Marie,Shiroki Yami no Arabesque,100,746689
FUWAMOCO,Kaibutsu,170,2038628
Clemaister,Classic Style,160,18920
Aoyama Mio starring Yuuki Aoi,Platinum,164,181361
Duca,My First Love (Short Ver.),165,2248638
Tomoya Ohtani,Undefeatable (feat. Kellin Quinn),200,1983199
Hoshimi Production,Sayonara kara Hajimaru Monogatari (TV Size),178,1823978
Endorfin.,Utakata no Hi,86,1042163
Rin'ca,5 Centimeters,82,1664918
sasakure.UK x DECO*27,Snow Song Show,138,72812
IOSYS,Border of Death,160,14107
BeautifulDay,Fiesta,133,3218
ALI,Wild Side,134,1672763
Jun Kuroda,Cybernetics,170,1325579
Harada Hitomi,Overdrive,182,1254187
Mizuki Nana,Justice to Believe,140,10694
Nishino Kana,Christmas Love,122,68849
Krzysztof Krawczyk,Bo jestes ty,110,371675
M2U,Moon Halo,180,901085
Rin'ca,Kiseki Melody,170,1901042
Marina & The Diamonds,Seventeen,130,27178
Nena feat. Kim Wilde,"Anyplace, Anywhere, Anytime",167,29729
DystopiaGround,True Theory of Inheritance,182,24477
Momo Asakura,PINKY HOOK (TV Size),137,1755884
Kuribayashi Minami,WITH (TV Size),175,1801396
cYsmix,Dovregubben's Hall,140,362451
julie,kit,153,2071087
Kon Natsumi,Niji no Kakera (TV Size),132,2013573
amazarashi,Getsuyoubi,172,2092837
The Rembrandts,I'll Be There For You (TV Version),190,207443
Girls' Generation,Oh!,144,12562
AFI,Miss Murder,144,34441
The Lonely Island,Jizz In My Pants,122,10001
WESTARENA by MLREC.,ROUND!,134,88125
iann dior,gone girl feat. Trippie Redd,95,1188670
JimmyThumb-P,Sunset,150,97454
toby fox,Fallen Down,110,1207132
Avenged Sevenfold,Beast and the Harlot,77.59,6374
Asano Ruri x Inui Toko x Shirakami Fubuki x Higuchi Kaede x Houshou Marine,MOON PRIDE,172.6,1247813
Kano,Stella-rium (TV Size),177,2120430
Atoguru,Itoshi Kimi wo Mitsuke ni,170,29044
Hatsune Miku,Samidare Renka,102,30085
Ben Franklin,No Way Back,157.98,25281
KOTOKO,Hekira no Sora e Izanaedo -Short Ver.-,148,18640
Amidst,Fate,123,1359944
dj TAKA,Freeway Shuffle,145,22646
ESTi,HELIX (Edit ver.),175,730814
supercell,Bokura no Ashiato (TV Size),140,46404
99RadioService,YOUTHFUL (TV Size),142,1709771
Magical Trick Society,Investigation ~ Cornered,150,130
Powerless feat. kakichoco,Vanity,90,1411404
glaive,1984,135,1574914
Okuyatos,Kind Lady,135,9639
Yuuka,Kaze no Rhythm,88,11675
onoken,felys final remix,180,1319560
Rokudenashi,Blizzard,182,1883140
Nakashima Yuki,Kasumi no Mukou e (TV Size),186,2080378
Aqours,HAPPY PARTY TRAIN,170,1194661
Aimee B,Fallen Angel (TV Size),190,26991
cygnus,Darkness Parade,160,2078577
Haru,Flowering Night (Instrumental),154,6952
Krewella x Diskord,Beggars (Consouls Remix),174,881753
Lifetheory,Fairy,175,158820
Moming Qimiao,Qing Jin Tian Xia,131.27,19374
Primary,Dryad -Dimgray-,170,16841
"Wizet, Nexon",Warped Path of Time (Remix),140,6926
Kotera Kanako,Ashita e no Kodou,173,223000
Lorna Shore,Sun//Eater,280,1960126
DJ TOTTO VS TOTTO,vajra,173,287377
Gesu no Kiwami Otome.,Digital Mogura,140,737340
KOTOKO,"Mighty Heart ~Aru Hi no Kenka, Itsumo no Koigokoro~",161,34721
DJ Sadan,Theme of Laura,170,38281
IOSYS,Fascination Marisa,185,10409
Eve,Tokyo Ghetto,140,1167132
Atoguru,Mr.Liar,100,32889
Hashimoto Miyuki,to the sky (Short Ver.),166,41336
ZUN,Beware the Umbrella Left There Forever,160,49852
T-Pistonz+KMC,Maji de Kansha! (Anime Opening Ver.),111,144761
Aiko Kayo,Hitomi no Naka no Meikyuu (tv size),129,487556
RAM WIRE,"Daijoubu, Bokura (TV Size)",140,78427
senya,Senka Ryouran,148,66190
BlackY vs. Yooh,HAVOX,210,352555
Shimoda Asami,Dororon Girl,240,18576
DJ NAGAI feat. a*ru,Benibotan,181,548679
Aoi Eir,JUMP!!!,188,1147278
P!nk,Who Knew,140,24438
Thaehan,Insert Coin,178,1906746
BUTAOTOME,Kurukuru Tsukai,208,1032027
Doma Umaru (CV: Tanaka Aimi),Kakushinteki*Metamaruphose! (TV Size),278,1291847
Junk,elegante,133,1045019
YOASOBI,Idol,166,1974238
Yakushimaru Etsuko,Ruru (TV Size),107,1227324
Duca,Futari Iro,170,18874
Owl City,Fireflies,90,565702
ClariS,Anemone -TV MIX-,140,393754
Mikoi Sasaki,Bokura no Seiza,200,539139
Gorillaz,Clint Eastwood,168,10862
HyuN feat. YURI,Disorder,193,1229471
Mr. Funky,Hanz Up!,129,43510
the peggies,Stand By Me (TV Size),171,992248
TOMATO GUMMY feat. Shirakami Fubuki,FINE!! (Cut Ver.),174,1298047
Sirius Chord,Drastic Melody (Game Ver.),190,1582772
Minamotoya,Radiant Treasure,135,15645
Oomori Seiko,JUSTadICE (TV Size),185,990079
Lala & Haruna(Haruka Tomatsu & Sayuri Yahagi),Yatte Koi!Daisuki(TV Size),171.77,6307
Spira Spica,Twinkle (TV Size),178,1161262
Eve,Kaikai Kitan (TV Size),185,1270547
Aqours,Mirai no Bokura wa Shitteru yo,181,679821
Go Ichinose,Victory Road,172,301268
naotyu-,Her Majesty,222,52360
Fujijo Seitokai Shikkou-bu,Best FriendS,163,748836
fhana,tiny lamp (TV-size),179,396516
Euchaeta,Who's World?,128,1622155
Culprate,Aurora,145,848003
Ogura Yui,Future Strike (TV Size),170,935836
Denkare,Elder Things (Short Ver.),170,33906
Aaron Kwok,Para Para Sakura,151,6490
ITO KASHITARO,Setsuna Plus,155,226731
Mr.FanTastiC,"Liar,Liar",225,1233707
Ami Sakaguchi,URL (TV Size),128,2046570
The Weeknd,In Your Eyes,100,1926557
Yuduki,you(Vocal-thanks/you - 2014 Sai Mix Ver.),87,280885
Otsukisama Koukyoukyoku,Apocrypha,236,1359388
Gyapuichi feat. Sennzai,Seize Your Future,163,2017028
verynezumi,Sound Test in Touhou,120,8955
loos,Koi Yomi Zakura (Full size),168,602230
THE ORAL CIGARETTES,ReI,186,842981
Marie,Unbreakable,180,808148
Mizuki Nana,Eternal Blaze,155,26623
Rib,DONUT HOLE,252,191759
S-C-U,yellow head joe,187,48792
siqlo,parsley,180,1269430
Pet na Kanojotachi,Kimi ga Yume wo Tsuretekita (TV Size),135,61684
Panic! at the Disco,This is Gospel,156,159506
Tatsh feat. Kanako Hoshino,Gekkou,155,30970
YOASOBI,Yuusha (TV Size),208,2067467
PassCode,Ray (Cut Ver.),196,1704595
Rish feat. Choko,Hidari Click ga Osenai,185,2155893
8686m,marshmallow,180,1061047
Years & Years,Worship,118,1352008
KOTOKO,SWEET x SWEET,177,1262210
Choucho,Kawaru Mirai (TV Size),167,32891
CHERRYBLOSSOM,DIVE TO WORLD (TV Size),147,906646
Blue Stahli,Throw Away,86,360528
Eve,We're Still Underground,148,1059169
Furimawasare-tai,Heart Purupuru Jiken desu,172,525287
Asaka,The Sunshower (TV Size),85,1090219
sphere,HIGH POWERED (TV Size),187,1133689
Dan Salvato,Doki Doki Literature Club!,110,716326
Pao Pao,Yaezakura,101,809431
fang,Intro,172,945380
Girls' Generation & Super Junior,Seoul Song,123,14678
Aizawa,Flutter Girl,166,17103
wa.,Black Lotus,200,679918
Marie,Clover Day's,190,347586
Suzaku,CONTRACT,180,33819
Annabel,STEP AHEAD (Short Ver.),140,59841
Hanatan,Tropical Summer,153,43570
Aether Realm,The Tower,230,2150260
sphere,Jounetsu CONTINUE (TV Size),198,1301182
TrySail,High Free Spirits -TV.Ver-,186,442135
Tainaka Sachi,Unmeibito,120,43011
Nightmare,Raison d'etre (TV Size),123,16838
9nine,White Wishes (TV Size),135,69992
Aimi,LIVE for LIFE ~Ookamitachi no Yoru~ (TV Size),176,1071258
Avril Lavigne,Hello Kitty,128,171275
FLiP,Katoniago (TV Size),163,24743
mafumafu feat. soraru,ROKI,150,1587613
KikuoHana,Nobore! Susume! Takai Tou,142,545757
bj.HaLo,Ende,200,44035
Grynpyret,Boba Beach,158,327224
Rabbit House,Final Overtake,196,770246
fumika,Umikaze no Brave (TV Anime Ending Size),156,82801
Ogura Yui,Baby Sweet Berry Love (TV Size),170,89831
A-ya (CV: Ogata Megumi),Kodoku no Kakurenbo,220,1044564
TWICE,CRY FOR ME,145,1317379
Mori Calliope,"Excuse My Rudeness, But Could You Please RIP?<3 (t+pazolite Remix)",260,1264863
Daniel Ingram,Equestria Girls,112,351098
Nakae Mitsuki,On my Sheep -TV size-,177,505415
siqlo,Forest Haze,174,281695
Murakawa Rie,Distance (TV Size),177,1008958
Kazui (CV: Ryota Takeuchi),Cat,244,2033493
Sonar Pocket,GIRIGIRI (TV Size),140,1148452
Epik High,Fly,128,56508
Rex Orange County,Television / So Far So Good (Cut Ver.),165,1730672
YOASOBI,Yasashii Suisei,90,1411580
OxT,GO CRY GO (TV Size),202,1957384
La Roux,Bulletproof,123.31,9897
Ito Kashitaro,Hyakka Ryouran,140,867277
Grant Kirkhope,Grunty Industries,179.95,4824
Audition,Can Can,150,5177
Kami Nomi zo Shiri-tai,Ai no Yokan,160,37615
COOL&CREATE(BeatMario),Destined Marionette,186,8273
Akiko Shikata,Umineko no Naku Koro ni ~Rengoku~,220,21079
Mewhan,Keseran Pasaran,185,750391
Selena Gomez,Tell Me Something I Don't Know,145,16488
Earth Star Dream,Yumeiro Toridori Parade (TV Size),138,752070
SAKURA*TRICK,Sakura Sweet Kiss,130,236505
SEREBRO,MALO TEBYA,130,307391
"Suzuki Konomi, Okui Masami",Absolute Soul-blade-,188,289376
Afterglow,READY STEADY GO (game size ver.),144,792819
Ali Project,King Knight,130,1981
Noah,Purification of soul,197,1758376
yak_won,Sinus ~Secret Heart~,142,736694
Kagura Mea,Kikoemasu ka,126,975467
Lazy Town,You Are A Pirate,120,6626
Kano,Prima Stella,180,1660414
AISHA,The Disaster of Passion,180,1497801
The Red Jumpsuit Apparatus,False Pretense,155,30789
LMFAO,"Party Rock Anthem feat. Lauren Bennett, GoonRock",130,1940198
Empty Peperoncino,Ame ni Utaeba,220,1385670
THE BINARY,Zurukute Sugoi,166,1261966
Mameyudoufu,Citadel,183,1024712
May'n & Nakajima Megumi,Lion (TV Size),145,29417
mrsimon,Disruptor,156,899772
Toromaru,Enigma,198,527869
GOING UNDER GROUND,LISTEN TO THE STEREO!! (TV Size),181.89,14610
SUPERSONICO,cat's dance,120,43402
dj TAKA remixed by Ryu,Abyss -The Heavens Remix-,171,9019
YUNGBLUD,Abyss,115,2158518
Faylan,Enrei Black Out,192,1340611
BAND-MAID,Sense (TV Size),205,1622658
Gesu no Kiwami Otome.,Romance ga Ariamaru,170,856645
TOGENASHI TOGEARI,Wrong World (TV Size),171,2208779
Haloweak,Narwhal,138,1173876
Lizean,Shinde Shimau towa Nasakenai!,174,1052264
culenasm,Hanabira,85,1173647
Ninomiya Yui,Dark seeks light (TV Size),185,1727027
eyelis,Page ~Kimi to Tsuzuru Monogatari~,159,1799325
Aoyama Teruma,Happiness,115,27725
yanaginagi,Vidro Moyou (TV Size),131,48935
Official HIGE DANdism,Cry Baby (TV Size),100,1959410
Kraster,I Love2 Darling!!,199,41282
fripSide,future gazer (TV Size),138,57370
The Real Group,Chili Con Carne,196,288351
Ryokuoushoku Shakai,Hana ni Natte (TV Size),192,2078340
Hail the Sun,Missed Injections,200,1236409
Eagle,D,120,403667
tokiwa,wasurena feat. Sennzai,176,1496234
Psychic Lovers,Cho! Saikyou! Warriors,175,15627
"Kanna Nakamura, Hitomi Sasaki, Tokui Sora",Glorious Moment! (TV Size),198,2025802
Shinra-bansho,Kaiten,166,840827
Michiru Kagemori (CV: Morohoshi Sumire),Ready to (Mokelmbe Bootleg),145,1245436
Mr. Projectile,You Need,135,22567
ave;new feat. Sakura Saori & Shirasawa Rie,Love Doki Suki Angel * Paradise!!,165,31852
Bai Sha JAWS,Dive Back In Time (TV Size),108.02,1546952
Jay Chou,Qing Hua Ci,108,251913
Takagi-san (CV: Rie Takahashi),Deatta Koro no You ni,120,755289
yuinishio,Iki o Suu Koko de Suu Ikiteku (TV Size),100,1656135
La Roux,Reflections Are Protection,119,10924
Yonezu Kenshi,Flamingo,114,1210565
Faylan,Last vision for last,195,22571
Kozato,Tsuki -Yue-,150,101123
kors k,Insane Techniques,146,155288
sapientdream,walls,78,987933
Hitoshi Sakimoto,Isekai Ivalice,119.5,500371
STEREO DIVE FOUNDATION,SPARKLES,160,1902611
IOSYS,Tanoshii Yoru no Ochakai - Ringo's Tea Party,175,374858
Kano,Daisy Blue,184,743715
doriko feat. Hatsune Miku,Paradise Cage,174,23483
Yu-Peng Chen @HOYO-MiX,Letter From Ajax,188,1456207
KIRA,Circles (Piano Version) (feat. GUMI),141,1046346
IM@S ALLSTARS,GO MY WAY!!,180,212382
Hashimoto Miyuki,The Day Takeoff,160,30925
12 Girls Band,Freedom,130,13901
Tamura Yukari,Endless Story (TV Size),187,38130
fumika,Aoi Tori (TV Size),156,1197443
O-Life Japan,Yamanobori Kibun,160,30256
Mile (CV: Waki Azumi),Genzai Banzai (TV Size),133,1048637
VocaliodP,1/6,125,61207
EastNewSound,Seisou Rinne ~Repeat~,170,53996
Seo Taiji,'07 Class Idea,170,9656
Girls Dead Monster,Ichiban no Takaramono (Yui Ver),120,17447
Camellia,"FLYING OUT TO THE SKY (covered by Nanahira, moimoi, Nana Takahashi) (Cut Ver.)",244,1308842
Selena Gomez,Everything Is Not What It Seems,125,88224
HeHeJSM,YENA (Dubstep Remix),140,244936
Adust Rain,psychology,153,890981
Killswitch Engage,My Curse,174,596106
Metamorphose feat. Yoko Ishida,Over The Testament (TV Size),185,1502678
Sakurae Yusura(CV:Shimoda Asami) & Kitaki Renko(CV:Horie Yui),Fantastic*Schooldays,170,265409
CHiCO with HoneyWorks,color,180,865497
Thaehan,Sunrise,202,818360
Faylan,God FATE (TV Size),195,78227
Sangatsu no Phantasia,Pink Lemonade (TV Size),191,1705258
MEMAI SIREN,image _____ (TV Size),201,1091421
Katy Perry,Firework,124,22164
Buono!,Honto no Jibun (TV Size),143,10023
Sakakibara Yui,Gensou no Shiro,145,15251
Melanie Flash,One in a Million (Nightcore Mix),134.4,42460
MY FIRST STORY,WINNER,170,929581
RAMM ni Haiyoru Nyaruko-san,Zutto Be with you (TV Size),130,51294
Spawn of Possession,Apparition,240,1148317
Camellia,Ethnik Khemikal Teknologi,150,959112
Yousei Teikoku,Wahrheit,180,53923
Dreamcatcher,Chase Me,200,744531
Nanawo Akari,One Room Sugar Life (TV Size),180,813454
Milky Holmes,Party Party! (TV Size),200,100930
Sakakibara Yui,share the thoughts (OP size),165,156688
Satomi Sato,Le jour,196,375378
kessoku band,Distortion!! (TV Size),176,1874060
Klava Koka & NILETTO,Crush,150,1246201
The Ting Tings,Keep Your Head,154,63774
Ado,New Genesis,175,1830890
Tia,Nirvana (TV Size),144,945442
Porter Robinson,Everything Goes On (Star Guardian Version),157,1806908
solfa feat.Chata,hot splash!,153,380583
Hana,Eden's Song,162,89862
Hatsune Miku,Hatsune Miku no Gekishou,200,22672
Silver Forest,Yami no Mahou Shoujo,200,1872124
Backstreet Boys,I Want It That Way,99.03,39401
Fractal Dreamers,Monolithia,190,982375
Kitamura Eri,Shirushi,160,42861
cillia,Donor Song,102,711681
TAM x KEIGO KANZAKI,Lullaby of Deserted Hell,180,21951
Haruna Luna,BLUE ROSE,175,1698296
Primary,Naked flyer,185,810161
Linkin Park,Carousel,115.02,286486
iroha feat. Kagamine Rin/NicoNico Chorus,Meltdown,165,17394
Yoko Shimomura,Sora,132,10477
Giga,G4L,140,1555674
Kagamine Rin & Len,Jutenija,200,29557
Nishizawa Hagumi,combination somebody! (Short Ver.),160,30289
DJ Amuro,A,93,2997
MisteryCircle,So What?,220,918900
yumemidoll,Lyrith -Meikyuu Lyrith-,177,757681
Michiru Yamane & Yuzo Koshiro,The Gears Go Awry,118.97,9549
Ito Kashitaro,Kyouhansha,155,751956
sakuraburst,GLASS RIVER,126,1061218
PSYCHIC LOVER,Rewrite (Short Ver.),178,54127
Duncan Watt,Dominion,119.95,41529
Rachel Taylor,Eternity (C3EYOND Remix),174,1519259
ClariS,Gravity (TV Size),175,483533
Ai Otsuka,Sakuranbo,169.96,16928
livetune adding Fukase(from SEKAI NO OWARI),Take Your Way (TV Size),134,95331
Owl City,Hot Air Balloon,200,20311
Minami,Kawaki o Ameku (TV Size),129,910293
Vickeblanka,Black Rover (TV Size),204,1199834
Kageyama Hironobu,Battle of Omega (GAME OP size),196,759592
EmoCosine,Nekojarashi,185,1710593
Yu-Peng Chen @HOYO-MiX,The Ever-Victorious Pointy-Eared General (tnbee mix),190,1648099
Poppin'Party,Time Lapse,192,1018483
Gorillaz,19-2000,179.8,12131
supercell,Perfect Day,155.02,31876
Ghost,From The Pinnacle To The Pit,180,425520
Akiyama Hirokazu,Doll play,120,60850
"Post Malone, Swae Lee",Sunflower,90,1114768
Husky by the Geek,Heroes,160,727142
Ayase Rie,Yuima-ru * World,180,1151399
YUIKAORI,Ring Ring Rainbow!! (TV Size),181,1621479
Laura Marano,Miraculous,160,808310
fripSide,only my railgun,143,2169966
THE ORAL CIGARETTES,Flower,192,2115140
YOASOBI,Ano Yume o Nazotte,180,1177092
Ryu*,Sakura Reflection,181.01,28649
Hatsune Miku,Falldown,200,17118
YOASOBI,Kaibutsu (TV Size),170,1329156
Luna,Shinsekai no Alpha,190,1191630
Rie Kugimiya,Suki? Kirai!? Suki!!! (TV Size),168,34874
Suda Keina,veil,150,1023081
ZAQ,Dance In The Game (TV Size),135,1797993
TO-MAS feat. Chima,FLIP FLAP FLIP FLAP (TV SIZE),117,542737
Azuna Riko,Katachi (TV Size),124,1802079
3OH!3 feat. Ke$ha,My First Kiss,138,52936
Rachel (CV: Chisuga Haruka),Pray (TV Size),80,810200
suzumu feat. soraru,Zetsubousei: Hero Chiryouyaku,205,852354
AZALEA,GALAXY HidE and SeeK,141,1260015
Nakiri Ayame,"Yoi no Yo, Yoi!",166,1593663
gle6,"smile, sweet, sister, sosister",152,759957
Hatsune Miku,Tsumiki no Ningyou,207,23039
Kawada Mami,Eclipse,136,16812
Cranky,"Feline, the White...",170,751773
Bermei.Inazawa & Urbatronic Chopsticks,Melody,188,10410
Owl City,Hello Seattle,119,12156
Disturbed,Indestructible,180,22186
Kuroneko Dungeon,Ryoushi no Umi no Lindwurm,280,742648
Wu Se Shi Nan Ye,Sha Ma Te Yu Jian Xi Jian Chui,125,119335
Ray,sign,124,183101
Est feat. Sekka Yufu,Hello Hello,87,172524
UNDEAD,Valentine Eve's Nightmare,210,1374903
KMNZ LIZ,White Happy,160,1438024
Hatsune Miku,Deep Sea Girl,137,20337
Will Stetson,Lagtrain,147,1443224
KOTOKO,Cider (short ver.),124.03,33680
THYME,Forever We Can Make It!(TV Size),185,3284
Freezer feat. Kiichigo,Chocolate Planet,185,1258377
Yuyoyuppe,ALONE,190,1394799
Sanshuu Chuugaku Yuusha-bu,Hanakotoba (TV Size),176,843145
Muse,Resistance,134.98,22877
3R2,Brawl Breaks,165,546068
Melancholari,Imagine,102,2018121
Misawa Sachika,Unite (TV Size),188,94078
awfuless,Temptation (Cut Ver.),173,1983389
Dr.Flowershirts,Canon (O2 version)+,81,5349
Shimomura Yoko,Mori no Kinoko ni Goyoujin,189.28,1355791
HyuN,Duplicity Shade (feat. Sennzai),193,1709308
Feryquitous,Central Nucleus,175,705253
07th Expansion,worldenddominator,142,57032
Tawada Tsukasa,Tsuujou Sentou Kyoku 2,146.1,816580
FELT,Innocent Eyes,180,408269
Nekrogoblikon,Mold,184,1061153
Saiya,Remote Control,165,530445
yanaginagi,Killer Song,166,46765
KOTOKO,"Sakura Mau Saka o, Kimi to Aruku",164,163434
TOMOSUKE x Jazzin'park,LANA - Kiroku no Kakera -,84,312043
Lifetheory,Daisy,180,549738
Hyadain,CRASH!! (Let's do it),135,2434
Latina (CV: Takao Kanon),I'm with you (TV Size),181,998531
kors k feat. Rie,Rising in the Sun(original mix),172,26742
WHITE ASH,Crowds (TV Size),171,109105
YOASOBI,Shukufuku (TV Size),170,1862467
"Post Malone, Swae Lee",Sunflower,90,1450998
"Team""Hanayamata""",Hana wa Odore ya Irohaniho,160,190965
Lia,Saya's Song Remix,184,153020
100 gecs,Torture Me (feat. Skrillex),157,1900485
Kurosaki Maon,Memories Last (TV size.),173,188300
Miyano Mamoru,Orpheus,184.01,316903
Hanatan,You and beautiful world,160,782784
"Ling Yuan yousa, Xiu Mu Su, Hun Miao Miao",Hua Yue Cheng Shuang,90,1738510
KIRIKO,Still I Love You ~Mitsumeru Yori wa Shiawase~,124,44356
Hana,Aerodynamics Girls and Boys Poem (Short Ver.),182,62141
Powerless feat. kakichoco,Vanity,180,651712
Aramary,StarDust,124,18231
tomatomerde,SHINING LINE*,175,416873
Nekomata Master feat. Shimotsuki Haruka,Element of SPADA,170,159536
milet,Prover (TV Size),78,1089551
Taylor Swift,Love Story (Taylor's Version),119,1374672
Kawano Marina,Weight of the World / Kowareta Sekai no Uta,74,585532
Fractal Dreamers,Scarlet Night,175,986376
Nobuo Uematsu,One Winged Angel,120.2,7019
Pegboard Nerds,Try This (Cut Ver.),87,1862574
Yoshida Mayumi,Zutto Kono Mama...,160,63468
"Jang Sukhui, Jeong Yeojin",Catch You Catch Me (TV Size),136,807602
NANA,Koisuru Chikara,176,48336
"Comic Girls (Akao Hikaru, Hondo Kaede, Onishi Saori, Takahashi Rie)",Memories (TV Size),169,775604
yanaginagi,landscape,161,750583
Ito Kanako,Skyclad no Kansokusha,167,394592
Faylan,Dead END (TV Size),183,45127
Nakajima Megumi,Seikan Hikou,131,41446
REDALiCE vs. USAO,SAIKYO STRONGER,205,1098586
Kawada Mami,Hishoku no Sora (TV Size),169,1865591
Powerful T.,Over The Rainbow,157,16174
Vaundy,CHAINSAW BLOOD (TV Size),147,1903846
Sukimaswitch,Zenryoku Shounen produced by Okuda Tamio (anime ver.),127,629211
Sasaki Sayaka,"Sakura, Reincarnation",181,1013342
Iguchi Yuka,Kakumei Zenya (TV Size),141,863999
BeautifulDay,Beautiful Day,140,24039
TUYU,Namikare,204,1231994
MYTH & ROID,STYX HELIX (TV Size),100,1103179
Earth Star Dream,Yumeiro Toridori Parade,138,710261
Mili,sustain++; (TV Size),126,1185446
Hatsune Miku,Renritsu Houteishiki,139,40168
Ricky Montgomery,This December,140,1173192
Suzuki Konomi,CHOIR JAIL (TV Size),181,1490776
sphere,Non stop road (TV size),175,546703
Midnight Grand Orchestra,Rat A Tat,103,1827006
Jun Senoue,Westopolis,165.5,28397
Annyy,Pick Me Up In The Dance Hall,136,17046
u's,Natte Shimatta!,170,1171327
ANZA,Tobira wo Akete (TV Size),124.4,32433
Funtastic Power!,Pachelbel's Canon,124,25871
f(x),Pinocchio (Danger),118,881481
Hatsuki Yura,Secret Rose Garden,130,1449452
Magnetude,Signals,174,850972
KOTOKO,U,180,1440106
Skrillex,First Of The Year (Equinox),145,56791
NakamuraEmi,Kakatte Koi yo,113,766410
BRADIO,Flyers (TV Size),139,1649895
brave elements,Massarani,210,889525
Dayte tank (!),Krepost',130,1827765
TJ.hangneil,Kamui,210,2008761
Ceui,Sabaku no Santa Maria,178,1569478
"Iris Freyja (CV: Hidaka Rina), Mononobe Mitsuki (CV: Numakura Manami)",Ray of bullet,185,1593028
lapix,Day by day (PSYQUI Remix),170,1318545
Machinae Supremacy,Gimme More (SID),126,143897
syudou,Gambling,196,1912881
(Dj SASA Remix) Tattoo Colour,Cinderella,120,9204
Yellow Zebra,Happy Sunday,170,11779
THE ORAL CIGARETTES,Sesshoku,196,1768029
Silver Forest,Setsuna ni Chiroutomo,152,23065
YanZi Sun,Liu Guang(Green Light),106.01,2239
UKRampage,Jack-the-Ripper,210,1333932
Evanescence,Call Me When You're Sober,186.96,27412
Yousei Teikoku,Deep Sea,87.5,8870
Duca,Kokoro no Tane (Short Ver.),119,52266
Tezuka x Qayo,NINI,174,1041108
