art,t,bpm,s
Umeboshi Chazuke,ICHIBANBOSHI*ROCKET,234,1258751
Takahashi Yoko,Zankoku na Tenshi no These (TV Size),128.64,872723
Suzuki Konomi 'n Kiba of Akiba,Watashi ga Motenai no wa Dou Kangaete mo Omaera ga Warui!,200,109373
Aoshima Moka (CV: Mimori Suzuko),kibo refrain,172,715596
ZAQ,VOICE (TV Size),184,265875
Junichi Masuda,Sentou! Mew,181,549036
Umeboshi Chazuke,Bison Charge,243,1368447
amazarashi,Kisetsu wa Tsugitsugi Shindeiku -Tokyo Ghoul Root A Edit-,181,271339
Hello Sleepwalkers,Goya no Machiawase (TV Size),189,141329
Noisestorm,Crab Rave,125,891596
THEATRE BROOK,Uragiri no Yuuyake ( TV Size ),151,13673
Drop,Granat,180.96,219763
Rish feat. Choko,Tanaka,186,1717748
Primastella,Koigokoro,140,127712
EDOGA-SULLIVAN,WONDERFUL WONDER (TV Size),160,1280506
eyemedia,Bloody Purity,155,147584
EGOIST,The Everlasting Guilty Crown (TV Size),172,996696
Cornelius Link,Astronomia (Medieval Style),130,1159452
Rin,Lunatic set 15 ~ The Moon as Seen from the Shrine,128,968232
Hatsune Miku,Yellow,127,17624
Wakeshima Kanon,"World's End, Girl's Rondo(Asterisk DnB Remix)",175,444049
FLOW,Sign (TV Size),178,17066
Cass2,Gravity Falls Theme Song- 16 Bit Mix,166,664315
YOASOBI,Idol (TV Size),166,2043818
Yousei Teikoku,Zetsubou plantation,230,86009
Aitsuki Nakuru,Monochrome Butterfly,175,770300
NateWantsToBattle feat. Amanda Lee,Kuusou Mesorogiwi,230,897035
Kobaryo,Theme for Psychopath Justice,183,1328918
Shintani Ryo,Neko Atsume no Theme,125,1230784
BTS,Blood Sweat & Tears,93,526328
BAND-MAID,Choose me,180,1032794
Sporty-O,Let Me Hit It,128,486008
nameless,3331,200,297558
tomspicy,fieryrage accordion (hardcore remix),182,1921382
System Of A Down,Aerials,80,136425
S3RL feat Mixie Moon,FriendZoned,175,409164
suzumu feat.soraru,Zetsubousei: Hero Chiryouyaku The Animation,205,367646
Kondo Koji,MAP5 (Mayoi no Mori),127.34,1641935
Komiya Mao,(can you) understand me?,185,828703
SID,Monochrome No Kiss (TV Size),150,16906
Kagemori Michiru (CV: Morohoshi Sumire),Ready to (TV Size),147,1139127
CHiCO with HoneyWorks,Otome-domo yo. (TV Size),172,1004293
Harada Hitomi,Overdrive (Cut Ver.),182,1348363
Veritas Unae,~DISK 1~,80,563458
ONE OK ROCK,The Beginning,182,71561
Suara,Fuantei na Kamisama TV ver.,156,394829
Hanasaka Yui (CV: M.A.O),Harumachi Clover (TV Size),142,933554
Various Artists,Nightcore Mix Compilation,168.85,89289
Kugimiya Rie. Horie Yui. Kitamura Eri,Orange,140,352714
Mikakuning!,Tomadoi Recipe (TV Size),170,1255281
Sleeping With Sirens,If You Can't Hang (Cut Ver.),192,1358902
Warak,REANIMATE,174,489190
Hatsune Miku,Baby Baby Sayonara,135,28482
