id,name,ppOld,ppNew,ppDiff,minuteUpdated
33008484,Edge2q,16049.7,15105.09,-2297,29790516
2617190,mikku1,15716.9,15096.96,-1154,29790516
8883498,remuresu17,15350.6,15092.13,1592,29790517
6349821,cheese salad,16144.7,15061.63,-1025,29790516
4841352,Jaye,15509,15052.70,1364,29790516
1656336,pet,15002.5,15043.24,1848,29790517
6922240,knibblet,15892.6,15040.70,-1754,29790516
12439209,Daniels,15974.8,15032.93,-1241,29790516
20843003,SceptifyMK,15394.4,15010.03,1879,29790517
215127,Ign1s0,15212.7,15000.45,1172,29790517
4050738,HiroK,15845.8,14996.45,-291,29790516
16262582,ImTutu,15928.2,14992.88,-1031,29790516
9213381,Lorenzetto,15783,14984.78,113,29790516
10869389,makimen,15409,14950.78,429,29790516
5482401,iceOC,14979.5,14947.38,2566,29790517
35356880,WWWS1009,15542.6,14929.52,556,29790516
11931563,Roxy-,15649.9,14927.47,-520,29790516
5217107,_Rise,14928.3,14893.10,2415,29790517
2852269,jmeh07,15700.2,14880.71,-1626,29790516
25289165,srmr Taiko,15575.1,14878.10,233,29790516
13175389,Ascrute,15894,14874.69,-1258,29790516
34612411,saebb,15292.6,14847.76,-113,29790517
8192004,Y u w a n,14825.3,14832.94,2282,29790517
12892087,HarryAda,15697.9,14819.23,-637,29790516
5918857,snz,15058.3,14817.40,2217,29790517
16892858,Dogman77,15869.1,14801.02,-1736,29790516
27018825,1208,15620.3,14800.68,-1238,29790516
38223065,tadie,15338.4,14800.32,-720,29790517
16536516,HiGreeks,15356.7,14790.22,-3,29790517
28263206,Mqruqki,15217.9,14781.58,-1095,29790517
12273160,6gicha,15424.4,14776.65,-191,29790516
11799110,Spicy Onion,15732.8,14769.33,-1633,29790516
5116922,salisburysteak9,15435.7,14766.59,-157,29790516
20602365,kamiradesu_,14920.6,14748.44,-1446,29790517
19975342,GamersDecision,15365,14739.01,-1023,29790517
20093775,EldoDebug,15660.3,14731.73,-1417,29790516
4126437,suni,14566.7,14726.66,2755,29790517
34269151,ADeLGLT_Cha,15683.5,14724.77,91,29790516
11071662,penchan_256,14600.9,14724.07,2417,29790517
34027024,knzk1234,15209,14714.44,-1413,29790517
12029122,Vanity8,15688.3,14714.38,-1289,29790516
36804138,- noah,15234.3,14709.69,-255,29790517
15013948,_TheXFactory_,15779.9,14706.07,-1908,29790516
16456158,Gholdengo,15094.2,14690.90,-661,29790517
4655546,aHTaoN,15317.1,14681.36,177,29790517
7556189,ankoro,14777.5,14679.09,1722,29790517
6680785,Ranshi,15532,14672.94,-963,29790516
7086439,Dargin,14900.8,14672.07,1569,29790517
1139209,XK2238,14939.2,14671.90,1813,29790517
32648254,barrier15300,15032.4,14659.39,546,29790517
15436568,Joltzzz,15454.2,14651.00,-1892,29790516
15821708,Sebola,15515.5,14648.25,-900,29790516
11296097,TaikoWorldCup,15713.8,14630.26,-1586,29790516
18390384,mr0223,15425.3,14627.62,-962,29790516
27166965,raimu4649,15794,14625.49,-1849,29790516
8214424,sighate,15316.5,14613.50,-765,29790517
4407678,_knots,15141.2,14590.17,85,29790517
26031453,chairIess,15499.7,14572.88,-1647,29790516
20937051,soltman,15405,14552.41,-1458,29790517
6506484,duski,15252.8,14525.44,-656,29790517
13892153,magev,15393.5,14521.21,-1186,29790517
9700317,Phrq,15446.7,14510.10,-1090,29790516
4632503,1RoHa_,14540.2,14503.55,2086,29790517
284905,Ekoro,15168.7,14499.21,-327,29790517
39395888,haaaaaji,14841,14485.83,-94,29790517
10894640,denaN,14806.3,14463.80,997,29790517
10882115,DescriptiCringe,15315.8,14463.78,-1794,29790517
11306153,jimmyreturnz,15106.9,14461.70,-1743,29790517
7189946,TFD500,14626.5,14454.83,742,29790517
31514073,makaruni,15008.1,14439.50,-801,29790517
19411222,Sweps,15053.9,14436.01,-444,29790517
37951666,glorius grown,15076.3,14432.96,-1523,29790517
4637369,Petit,15097.5,14424.11,639,29790517
7299864,Axer,14958.8,14422.31,-76,29790517
6866480,nyanmi-1828,14827.9,14409.34,647,29790517
24910091,krokodil_koban,14860.6,14404.26,1053,29790517
10168328,Voenkom,14648.8,14401.39,804,29790517
27486456,stupid dummy,15306.7,14384.59,-1445,29790517
8743513,awdse22,15166.2,14371.20,8,29790517
12488630,yzpineth,15407.8,14370.69,-1791,29790517
13643601,[-ICHINO-],15452.8,14359.49,-1119,29790516
8601048,JarvisGaming,14636.2,14350.62,530,29790517
38352644,gataaa62,15051.8,14341.57,13,29790517
15191942,Eltigant,14551.8,14337.26,288,29790517
5468461,Kreyy,14983.2,14327.98,316,29790517
15266039,pixixelated,14441.3,14308.03,1673,29790517
8071438,Horiiizon,14824.4,14297.69,-111,29790517
30474711,sakupopon,15195.2,14270.30,-1133,29790517
6574823,haga1115,14634.5,14254.64,1157,29790517
6419257,Zmor0133,15321.4,14243.98,-2115,29790517
8011704,J a c k y,14669,14243.50,885,29790517
3196091,Genjuro,14571.5,14233.39,42,29790517
3285867,Aesa,15298.9,14218.42,-1645,29790517
13673007,Hoshino1,15212.4,14215.38,-1731,29790517
21058672,_raider,15236.6,14212.47,-1800,29790517
1506103,numamuto1,14345.4,14202.96,1607,29790517
17413733,Henry03,15036.3,14200.97,-1672,29790517
13281473,Antti,14885.2,14198.61,-51,29790517
9311768,YouCanNotKnow,15039.6,14196.56,-933,29790517
4719175,Lefty3,13772,14164.71,4475,29790518
16238050,Rivana_Garakuta,14754.3,14161.00,-349,29790517
11719422,ASliceOfPi,14774.3,14158.24,2,29790517
29727936,irie-,14917.3,14146.16,-803,29790517
10457907,KyouRekii87,14497.5,14143.63,1668,29790517
502722,Cookie_Tree,14520.4,14141.70,480,29790517
4901066,4901066,14488.6,14118.95,-142,29790517
2286121,Mfy,14460,14104.40,698,29790517
21852708,resEureka,14217.2,14103.67,2849,29790518
7104549,cacao,14461.2,14102.92,1326,29790517
9117141,kotarou2525,14732,14102.63,-198,29790517
18793276,Coffecito,14876.2,14094.87,-1217,29790517
30114023,NaNaHiDa,14991.8,14080.03,-1435,29790517
12478373,TWIL1GHT,14788.4,14079.94,-311,29790517
33754270,linedcolt,14941.6,14063.89,-1191,29790517
12453848,Glassive,14927.9,14063.88,-1645,29790517
37558959,suzuki gonzares,14798.8,14062.12,-471,29790517
18853055,Cattleya26,14950.3,14038.31,-1285,29790517
11411697,alemagno333,14805.1,14020.55,-186,29790517
16403250,Ecchou,14966.8,14007.97,-1374,29790517
33275577,Takotti,14390.2,14007.70,535,29790517
1926134,bvrieivewvw,14387.8,14006.60,327,29790517
3802922,Fudgy,14639.6,13994.43,-447,29790517
8669774,yamfan,14865.8,13990.02,-1366,29790517
19924725,Momoiro Yume,14965.7,13973.47,-1157,29790517
18782185,[TCD] Azure,14539.5,13972.10,-941,29790517
14777912,ZeaIand,14938.1,13970.99,-1524,29790517
10868191,Ghost_r,14873.2,13967.10,-1236,29790517
14892190,Tiera,14624.7,13958.46,-785,29790517
28816427,yuzuriha256,14949.5,13945.18,-1735,29790517
3075337,honkers,14632.1,13938.59,-92,29790517
18577881,ama_hano,14624.4,13928.49,-1188,29790517
34393346,spongebobdesu,14841.2,13926.19,-1419,29790517
8283661,doulph,14298.9,13897.56,175,29790518
17415683,Undead Alice,14754.4,13890.67,-1861,29790517
25176275,PlusPearPi,14418.1,13887.03,29,29790517
7136990,_mai,13929.7,13883.90,1729,29790518
2198070,beary605,13700.8,13875.71,2753,29790518
14197674,TSC_Theo,14549.6,13866.52,-341,29790517
34475085,Tasorostn,14829.5,13863.26,-1612,29790517
22751262,metal_are,14342.7,13845.54,1232,29790517
25684740,k4i3_mk,14106.7,13843.65,1581,29790518
3811626,kolishimona,14177.6,13826.88,341,29790518
9472201,sakura_39,14136.3,13818.14,1011,29790518
24486635,iamNoobZexy,14402.2,13814.53,-718,29790517
30340849,ruritouwa,14536,13803.14,-466,29790517
18603653,-Ryuji-,14741,13795.91,-1662,29790517
8638977,CrowWhite,14262.6,13790.16,571,29790518
5938161,gaston_2199,14260.2,13789.03,-287,29790518
35748868,DONPEEN,14086.6,13786.26,-277,29790518
16415779,Peko,14669.5,13776.96,-597,29790517
11185769,thallrakh,14414.2,13773.82,-44,29790517
5128029,Mean X,14098.7,13770.51,1288,29790518
37234783,calcium4488,14610.5,13763.85,-1112,29790517
13546798,sasanqua,14514,13754.75,-933,29790517
21448085,Spinasson,14291.8,13741.73,-547,29790518
11495339,pizzafart,14252.4,13721.94,-1409,29790518
36024737,Anders8KJS,14156.6,13721.61,174,29790518
10079029,Skidooskei,14428.8,13701.45,-353,29790517
14822582,BCM,14508.8,13699.63,-304,29790517
39348217,konire,14341.4,13699.04,-280,29790518
20382819,4mi___,14051.1,13690.77,1254,29790518
4097035,Garpo,13826.8,13686.76,1933,29790518
21564948,R1ght4,14464.2,13665.49,-499,29790517
22547308,Reeche4,14396.2,13664.14,-254,29790517
6205471,Shallty,14047.3,13662.58,1707,29790518
12052009,Ratchet0203,14258.1,13638.69,-117,29790518
8897643,-Akitai-,13959.9,13638.67,1244,29790518
8917069,Piel,14043.8,13634.35,-203,29790518
37690305,yossi014,14434.6,13620.20,-1728,29790517
13108155,iTzzMar0,14319.2,13596.28,-423,29790518
2345156,Mew,13756.6,13591.94,1871,29790518
7488794,JarHed,13997.7,13589.73,-155,29790518
8023063,Gundham,13879.5,13576.39,426,29790518
9503545,EreNoq,13600,13570.53,1829,29790518
4940698,Xoretra,14368.6,13560.37,-91,29790517
12687433,pui,13794,13557.04,934,29790518
11619349,detteiuu,13843.7,13550.45,1372,29790518
37048690,2_tinheri,14417.8,13543.43,-1152,29790517
3738344,X a v y,13815.5,13531.24,798,29790518
6278008,Drecksackblase,13936.8,13529.62,315,29790518
35487753,ichi_yun,14323.3,13527.64,-1087,29790518
7341471,Seiong,13632.8,13524.48,1753,29790518
21973054,eim1n,14090.9,13515.52,973,29790518
16744181,laaamgr,14305.7,13514.48,-1124,29790518
23048879,fractal161,13658.3,13505.57,357,29790518
10931926,beru,13717.2,13500.96,1792,29790518
34934805,NoHaxJustTaiwan,14169.8,13494.51,-658,29790518
8609627,[GB]Edward_Tsui,14187.5,13493.30,-572,29790518
6752242,ZelLink,14039.6,13487.79,126,29790518
4251077,mug1,13903.8,13481.00,88,29790518
6092181,Dusk-,13564,13477.58,1977,29790518
12264918,El Milanga,14204.8,13477.45,-605,29790518
13100247,Anthoni,13585.8,13476.80,1589,29790518
17457030,stmilc,14422.9,13475.85,-1619,29790517
15517145,kocoten72,14230.6,13470.93,-1587,29790518
18649724,Warp,13718.8,13454.37,687,29790518
23064382,niboshii,14158.2,13444.79,-1127,29790518
7330199,B-with-Ee,13869.4,13430.95,140,29790518
5592441,Inigo,14012.9,13422.20,352,29790518
17359546,Murasame_,13735.2,13411.73,913,29790518
