m,b,x,pp99,adj,v,s,l,d,p,h,appr_h,ar,accuracy,cs,drain
0,5105790,1112.08,453.79,355,[4K] And Or Nor Not,2367080,236,6.50478,51549,11033,485665,5,7,4,8.2
0,888022,1109.6,70.03,5478,[4K] puxtu's HD,409025,247,3.09484,157259,90759,405918,9.5,8,4,8
0,1023088,1107.18,90.43,4707,[4K] Leah's Hard,478161,138,3.28135,390921,81279,415413,5,7.2,4,7.5
0,5575808,1099.32,133.23,3619,[4K] AURA 9999,2524611,89,3.80477,23384,3365,493312,5,8,4,8
0,4844310,1089.95,221.83,1956,[4K] MIKU MIKU BEAAAAAAAAAM!,2273820,195,4.75398,37515,13782,482909,5,8,4,8
0,724149,1075.05,320.17,766,[4K] GRAVITY,326079,110,5.5351,277615,93327,403352,5,8.5,4,8.5
0,2940873,1067.83,233.58,1909,[4K] Eternity,1428416,1232,4.87564,43157,45933,450744,5,8.5,4,8.5
0,563731,1045.46,66.39,6185,[4K] puxtu's Hard,244565,87,3.01408,354511,100075,396674,4,8,4,7.5
0,1697356,1038.98,103.57,4729,[4K] Hyper,808872,139,3.38948,252682,51058,445844,5,7.8,4,8
0,5688756,1038.41,768.24,48,[4K] Becoming Myself,2559951,316,8.15004,12588,1782,494895,5,7.5,4,8
0,1002503,1030.28,124.08,3360,[4K] Hyper,468353,114,3.65157,308970,83974,412757,5,7.5,4,7.5
0,4294726,1016.57,770.31,46,[4K] NULL,2055332,368,8.01937,63427,25560,471126,5,7.5,4,8
0,754175,1011.82,115.81,3869,[4K] Lv.08,323493,111,3.71975,321778,94613,402100,5,7.9,4,8
0,1355822,1007.13,57.61,6252,[4K] Advanced,581729,186,2.8226,155556,72282,424408,5,7.5,4,7.5
0,1934665,1002.02,180.59,2506,[4K] Monochrome of Lunatic,926185,413,4.42078,105102,62243,434438,5,8.5,4,8.5
0,1129049,978.14,157.3,3002,[4K] Greget,532917,80,4.26617,291519,70422,426255,5,8.5,4,8
0,4420283,969.02,268.69,1305,[4K] (@_@) // super,2087660,110,5.13656,73193,22273,474406,5,8.2,4,8.2
